"PA3" "PA5" "PA2" "PA1" "PA4"
"Q_initial" -0.0102516592174552 0.00093107514747895 0.00895382559029946 0.0123799388098596 0.00253717525912922
"Q_prep" -0.0166504536514179 0.00834357998452435 0.00476209446136402 0.0232401746673397 0.00307486516654287
"R_initial" -0.0415721165342228 -0.0323241484313744 -0.00454437693871724 0.0904310494974093 0.0319000151064928
"R_prep" -0.0624927236465479 0.0222051217257147 -0.0316441455770485 0.103228740734079 0.0173209218445149
"X001_vpast" 0.127520561564931 0.069314041508362 0.208274120083366 0.079351455342818 0.75446424625662
"X002_perfect" 0.221751931853145 0.326539967038657 0.0651518010501169 0.124115331478715 0.207979463995403
"X003_present" 0.479505769185271 0.0904055040402215 0.471190209236744 0.0628091251245483 -0.333155789405124
"X004_place_ads" 0.384379528681532 -0.0421064731251256 0.0928996458514822 0.00604269298085192 0.220423468963527
"X005_time_ads" 0.294886233951962 0.260547513214391 0.157436916997623 -0.0796311864210053 0.245015484088064
"X006_first_pps" -0.154552152298286 -0.0986460538692678 0.698156655275416 0.21819281805471 0.144175553552514
"X007_second_pps" -0.0655078337135753 -0.159336140560025 0.690556564219146 0.0348179999739062 0.0280338762560589
"X008_third_pps" 0.0763579605729432 -0.141269667707104 0.460943730505689 0.331676289593563 0.529662256016731
"X009_pn_it" -0.0156110772433356 0.306733381077303 0.532522419263271 0.234693328439231 0.00496191201961666
"X010_dem_pn" 0.066909208360764 0.262118591105111 0.412326891149282 0.132117615991807 -0.0848791532134991
"X011_indef_pn" 0.0429941526772412 -0.0473849061658251 0.58732284486063 0.177302909327077 0.0978519020098548
"X012_proV_do" -0.0432553469289255 0.076463170519936 0.746393207736725 0.0293787229152465 0.078747180596441
"X013_questions" -0.0641104170234665 0.038016399241505 0.543629669647457 0.0913795329221032 0.0416629673621457
"X014_nominalizations" 0.31322998990971 0.668062626823931 -0.140406049662013 -0.0180859155120226 -0.123538622131524
"X015_gerunds" 0.440392124041966 0.115447954080811 0.0645593894293445 -0.0882773350027913 0.019180156392399
"X016_other_nouns" 0.823098262440012 0.138903976615953 0.0464526797834438 -0.133131642560452 0.193935348099506
"X017_agentless_passives" -0.01252452826599 0.751901066868225 -0.141147460279908 0.104787013840204 0.107431611673007
"X018_by_passives" 0.0933628436243781 0.454041291371363 -0.180840476378831 0.0421972352835028 0.0689374152480813
"X019_mainV_BE" 0.275721290471157 0.226449564463893 0.351503466857741 0.250330206624943 0.0215120808721803
"X020_ex_there" 0.0140791114906444 0.28528472422634 0.261556796224547 0.154898890577716 -0.0403453653071248
"X021_that_verb_compl" -0.0514645855812302 0.647024816962275 0.0591236502577827 -0.0288367596017098 0.084917833048359
"X022_that_adj_compl" -0.0110972469365128 0.28518913260412 0.104660007479798 0.080726190096742 -0.0784224562242592
"X023_WH_clauses" 0.0115788550958624 -0.0199745536487449 0.36565067691231 0.0137657801394594 0.0625053240925888
"X024_vinfinitive" 0.157389764201937 0.496296449501231 0.603721585975095 -0.0834365675027041 -0.0225010648576208
"X025_pres_part_clauses" 0.18765206629153 -0.149134088471629 0.205145584976968 0.168184316350575 0.311344128754331
"X026_past_part_clauses" 0.337403536979899 -0.0595142604603159 -0.145606285461413 0.0764369845144601 0.179620907699994
"X027_past_part_WHIZ_deletion" 0.262663970647061 0.324029785629941 -0.159105521292185 -0.0259446198756339 0.18569762915993
"X028_pres_part_WHIZ_deletion" 0.360733478832132 0.132219254986186 0.0814793417478048 -0.118472399440724 0.169270092157432
"X029_that_RC_sub" 0.436137960807743 -0.0222148788218149 0.144892896178153 -0.0503448388566058 -0.0799659276025536
"X030_that_RC_obj" 0.0957977183278486 0.458858379345655 0.0245727049554863 -0.0679792489182777 0.0264300978995693
"X031_WH_RC_subj" 0.132870885119509 0.231599404315102 0.0408563260973746 0.190626057227464 -0.00359400529669913
"X032_WH_RC_obj" -0.0379233414555213 0.193799022460016 -0.0212291424831093 0.329590375046153 -0.0357680808359313
