nn1-nn2-ii	86247
nn2-ii-at	536145
ii-at-nn1	3590648
at-nn1-io	2909255
nn1-io-np1_nn1@	19990
jj-nn2-vv0	63095
nn2-vv0-ii_rp@	16106
vv0-ii_rp@-at	30140
ii_rp@-at-nn1	18520
at-nnt1-ii	15371
nnt1-ii-appge	10523
ii-appge-nn1	1019036
at1-nn1-vvz	28326
nn1-vvz-at1	32612
vvz-at1-nn1	69272
at1-nn1-ii	558002
nn1-ii-at1	295122
ii-at1-nn1	799638
nn1-io-at1	384161
io-at1-nn1	272380
at1-nn1-ii_rp	4860
nn1-ii_rp-at1	5911
ii_rp-at1-nn1	7735
at1-nn1-nn1	322279
vv0-ii_rp@-nn1	12626
io-at1-jj@	7925
at1-jj@-nn1	63817
nn-ii-at	19537
at-nn1-ii	757195
nn1-ii-at	1435346
ii-at-nn2	674128
at-nn2-vvg	27550
nn2-vvg-ii	45067
vvg-ii-at	230519
ii-at-np1	195128
at-np1-np1	165055
jj_nn1-nn2-vv0	8731
nn2-vv0-ii	29806
vv0-ii-vvg	3005
ii-vvg-ii	36597
vvg-ii-at1	40720
at1-jj-nn1	2030435
jj-nn1-y	1515003
jj_vvd@-to-vvi	1181
to-vvi-ppx1	44439
vvi-ppx1-rr	2853
ppx1-rr-jj	1074
rr-jj-ii	69839
jj-ii-at	183061
nn1-io-at	1689842
io-at-nnt1	60157
at-nnt1-y	57096
nnt1-y-vvz	1672
y-vvz-ii_rp@	1635
vvz-ii_rp@-at1	9173
ii_rp@-at1-nn1	81699
nn1-ii-np1	369781
ii-np1-np1	231337
np1-np1-y	514735
np1-y-appge	24914
y-appge-nn2	75576
appge-nn2-vvd_vvn	31039
nn2-vvd_vvn-y	22874
vvd_vvn-y-appge	2677
appge-nn2-vvg	15794
nn2-vvg-ii_rp@	7363
vvg-ii_rp@-at1	27354
ii_rp@-at1-jj	52724
jj-nn1-ii	871606
ppis1-vh0-vvn	124992
vh0-vvn-at	34545
vvn-at-jj	39790
at-jj-nn2	640993
jj-nn2-io	400507
nn2-io-np1	107899
io-np1-np1	112882
np1-np1-ii	50009
np1-ii-at	81919
ppis1-vvd-ii	73215
dd1_rg%-jj_da1-nn1	2275
ii31-ii32-ii33	246079
ii32-ii33-at1	18481
ii33-at1-nn1	9327
at1-nn1-cst_dd1	48825
nn1-cst_dd1-vbz	22259
cst_dd1-vbz-jj	5197
vbz-jj-to	61095
jj-to-vbi	39315
to-vbi-jj	84774
vbi-jj-io	12984
jj-io-nn1	36009
at-nn2-iw	19620
nn2-iw-vvg	2993
iw-vvg-at	7813
vvg-at-nn1	261053
at-nn1-y	1391921
nn1-y-ppis1	131005
y-ppis1-vvd	98469
vvd-ii-np1	70039
at-nn1_np1-nn1	31513
at-nn1-vvd_vvn	185998
cst-at-nn1	208904
at-nn1-nn1	628469
nn1-nn1-vvd_vvn	33084
nn1-vvd_vvn-appge	37592
vvd_vvn-appge-da	2575
appge-da-nn1	154442
da-nn1-y	76495
ii41-ii42-ii43	17700
ii42-ii43-ii44	17713
nn1-y-np1_nn1	16423
y-np1_nn1-vhz	1262
np1_nn1-vhz-vvn	2796
vhz-vvn-at	29097
vvn-at-nn1	146867
at-nn1-iw	114327
nn1-iw-vvg_jj@	1368
iw-vvg_jj@-nn2	3344
nn2-if-mc	4949
if-mc-m	2671
mc-m-nnt2	6362
jj-nn1_np1-y	11419
nn1_np1-y-pnqs	2092
y-pnqs-vvz	18709
vvz-pn1-ii	2949
ii-pn1-cc	1099
cc-vm-rr	9559
vm-rr-vbi	82563
cs-at-nn1	126604
at-nn1-ge	271406
nn1-ge-jj	61573
ge-jj-nn1	120369
nn1-vvn_vvd_jj-cc	2689
vvn_vvd_jj-cc-vvn	1978
cc-vvn-ii	45804
vvn-ii-at	597541
nn1-y-pph1	88924
y-pph1-vvd	25895
pph1-vvd-ii	39520
vvd-ii-at1	60400
ii-at1-jj_rr	3213
at1-jj_rr-y	6869
jj_rr-y-jj	9277
y-jj-nn1	233270
jj-nn1-io	1200239
nn1-io-nn1	1293259
io-nn1-ii	197790
ii-at-nd1	66554
at-nd1-nn1	20454
nd1-nn1-io	7311
io-at-nn1	1296047
nn1-io-np1	380047
dd1_cst-vbdz-rr	1064
vbdz-rr-jj	63322
rr-jj-iw	10648
iw-nn1-y	68371
nn1-y-nn1	263130
y-nn1-y	250618
nn1-y-vv0_nn1	28920
y-vv0_nn1-y	27536
vv0_nn1-y-cc	10505
y-cc-vv0_nn1	22367
vvg_nn1-ii-jj	2607
ii-jj-nn2	297922
jj-nn2-ii	332826
ii-at-jj	988710
nn2-io-jj	156360
io-jj-nn1	384328
m-io-nnt2	3049
nnt2-rrr-y	12738
rrr-y-at	2278
y-at-nn1	535485
at-nn1-vvd	200849
nn1-vvd-y	49734
vvd-y-nn2	2165
y-nn2-vvd_vvn@	1060
nn2-vvd_vvn@-ii	26494
vvd_vvn@-ii-at	55048
at-nn2-y	312256
nn2-y-cc	539161
y-cc-at	355991
cc-at-jj_nn1	23106
at-jj_nn1-nn1	408864
jj_nn1-nn1-vvd	12195
vvd-ii21_rl-ii22_ii	5169
ii21_rl-ii22_ii-at	11506
ii22_ii-at-nn1	10651
nn2-vvn_vvd-ii	98126
vvn_vvd-ii-nn1	47199
ii-nn1-nn2	69681
jj-nn1-vvn_vvd	43492
nn1-vvn_vvd-ii_rp	4972
vvn_vvd-ii_rp-at	11218
ii_rp-at-nn1	89082
nn1-vvd_vvn-at	65280
vvd_vvn-at-nn1	128150
nn1-ii-nn1	390939
ii-nn1-y	414880
nn1-y-nn1_vv0@	16917
y-nn1_vv0@-nn2	5662
nn2-vvd-at	10689
vvd-at-nn1	443088
