"PA3" "PA5" "PA2" "PA1" "PA4"
"Q_initial" -0.000647977134229747 -0.000430796897048804 0.000322918821646518 0.00135459229585228 0.000628487244425871
"Q_prep" -0.000531919914616762 -6.00631392815578e-05 -0.000424332393640056 0.00187787031830611 -0.000905708840500074
"R_initial" -0.000862902788498355 -0.000654903099321911 -0.00231651085205881 0.0061918186659147 -0.00048545339339504
"R_prep" -0.00326404694501315 -0.00128487586284217 -0.00345742460950437 0.00550423616371771 -0.000967706603851643
"X001_vpast" -0.264116323750759 -0.0914636864378641 -0.0385843168104958 -0.0110865620063061 0.473338780601218
"X002_perfect" -0.0111484371685619 0.0092485211186144 -0.0133126091764501 0.00125855186000788 -0.0079646196071263
"X003_present" -0.179537103603809 -0.0581446765159166 0.0652105258588827 0.0195749341052194 0.0352079946731067
"X004_place_ads" -0.00709509971583546 -0.0157050134643007 -0.0121474353898781 -0.00298398406704813 0.0167814845509091
"X005_time_ads" -0.0103525877106854 -0.00635140008203638 -0.00406965832841782 -0.0143907078600288 0.00561635256418035
"X006_first_pps" -0.00557953194550942 -0.038400694506944 0.0600609263129611 0.0250017932306585 -0.0106390099853138
"X007_second_pps" -0.0207451112480521 -0.0397384244016572 0.0413429514450111 0.0146640831420432 -0.0041865170377253
"X008_third_pps" -0.011261892160222 -0.115018560792696 -7.10259309912331e-05 0.0910363449265753 0.146890629412792
"X009_pn_it" -0.00307688086116433 0.0122184431188696 0.0469080102093059 0.015291912236138 -0.0256289958683756
"X010_dem_pn" -0.00898688528590874 0.000757503059648862 0.0244120505356744 0.00136975549297052 -0.025354000134705
"X011_indef_pn" -0.00701671076207802 -0.0120263772546597 0.0312742973574192 0.00610133803991132 -0.0075596142918137
"X012_proV_do" -0.00342147752751068 -0.000570907162148837 0.0767110251519897 -0.0120998496040412 -0.0370122128450519
"X013_questions" -0.00311134183863432 0.00354824404447701 0.0262482151459619 0.00333638067174922 -0.00242034523120199
"X014_nominalizations" -0.110500165746124 -0.031577204078206 -0.104165373655676 -0.0133309674133144 -0.0324792054423722
"X015_gerunds" -0.0109045229315851 -0.0164196854765333 -0.0113247638315195 -0.0104083738101314 0.00076685060634597
"X016_other_nouns" -0.365225246434616 -0.443289235059665 -0.394880416418529 -0.178449343944482 0.0999540502737328
"X017_agentless_passives" -0.0559613933103894 0.0721320557660943 -0.033576529992315 -0.00766601739398978 -0.0285793814554058
"X018_by_passives" -0.00891198884743617 0.0176070930394269 -0.0125491705368653 -0.00208764041177572 -0.00163397811245901
"X019_mainV_BE" 0.0423256592418564 0.0437549185582659 0.0674364719910677 0.0219122981971155 -0.0684866329560062
"X020_ex_there" -0.000567736284554984 0.0100421658488618 0.0128364427081018 0.003203499016524 -0.0106195480876717
"X021_that_verb_compl" -0.021324246254813 0.0265633142525715 -0.0131324806848629 -0.00510915642776242 -0.00689809989181563
"X022_that_adj_compl" -0.00639554857439821 0.0152050978396275 0.00462677584835592 0.00182142909592234 -0.00750684376329206
"X023_WH_clauses" 0.00533052084780991 -0.00139162363484104 0.00959084591763847 -0.00316987194916654 0.000980110999617123
"X024_vinfinitive" -0.0879739024740797 0.203841858749329 0.317478554276251 -0.216246277776115 -0.16358147566075
"X025_pres_part_clauses" -0.0158921102447966 -0.0199579253243304 -0.0027463231840132 0.00643615017524435 0.0243634134456653
"X026_past_part_clauses" -0.00509421511205785 -0.0127932607646328 -0.0136015771826111 0.00260003118801405 0.0138038840891549
"X027_past_part_WHIZ_deletion" -0.0245166218674517 0.00140909804510138 -0.0130694612646544 -0.00354239491489189 0.00735766488654069
